document_id,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat term ext
E6-2354,,"6,217,866","Aventis Pharmaceuticals, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3375,3192,183,"November 18, 1994",,"February 12, 2004",the date the investigational new drug application became effective,391
E6-3711,RELPAX (eletriptan hydrobromide,"5,545,644","Pfizer, Inc",2829,1307,1522,"March 31, 1995",,"December 26, 2002",the date the investigational new drug application became effective,1230
E6-3640,OVIDREL (choriogonadotropin alfa for injection,"4,840,896",Genzyme Corp,1787,1485,302,,,"September 20, 2000",NDA 21-149,1054
E6-3641,CRESTOR (rosuvastatin calcium,"RE37,314","Shionogi Seiyaku Kabushiki Kaisha, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1831,1053,778,,,"August 12, 2003",the date the Investigational New Drug application (IND) became effective,1304
E6-3712,PRIALT (ziconotide,"5,795,864","Elan Pharmaceuticals, Inc",3801,1973,1828,"August 4, 1994",,"December 28, 2004",the date the investigational new drug application became effective,
E6-3781,,"5,840,299","Athena Neurosciences, Inc",2924,2740,184,"November 23, 1996",,"November 23, 2004",the date the investigational new drug application became effective,1189
E6-3956,MYCAMINE (micafungin sodium,"5,376,634","Astellas Pharma, Inc",2546,1493,1053,,"April 29, 2002","March 16, 2005",the new drug application (NDA) for MYCAMINE (NDA 21-506),1814
E6-4163,,"5,034,230",Santen Pharmaceutical Co,1298,1115,183,,,"September 24, 1999",NDA 21-079,755
E6-4165,MYCAMINE (micafungin sodium,"5,376,634","Astellas Pharma, Inc",2546,2221,325,,,"March 16, 2005",NDA 21-754,476
E6-4164,VESICARE (solifenacin succinate,"6,017,927",Yamanouchi Pharmaceutical Co,2027,1325,702,,,"November 19, 2004",the date the Investigational New Drug application became effective,329
E6-6083,,,,,,,"January 5, 1997",,,the date the investigational new drug application became effective,
E6-9031,CETROTIDE (cetrorelix acetate,"5,198,533","Administrators of the Tulane Educational Fund, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2103,1815,288,,"October 29, 1999","August 11, 2000",NDA 21-197,1491
E6-9138,INCRELEX (mecasermin [rDNA origin] injection,"5,681,814","Genentech, Inc",4828,4644,184,,"February 28, 2005","August 30, 2005",the new drug application (NDA) for Increlex (NDA 21-839),1058
E6-9213,,"5,827,937","Q-Med AB, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1491,949,542,,,"December 12, 2003",the premarket approval application (PMA) for RESTYLANE (PMA P020023),879
E6-9139,LUVERIS (lutropin alfa,"5,639,639",Genzyme Corp,3927,2670,1257,"January 9, 1994","May 1, 2001","October 8, 2004",the date the investigational new drug application became effective,1780
E6-9201,UROXATRAL (alfuzosin hydrochloride,"4,661,491","Sanofi-Synthelabo, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2477,1560,917,,"December 8, 2000","June 12, 2003",the new drug application (NDA) for UROXATRAL (NDA 21-287),1481
E6-9214,TYGACIL (tigecycline,"5,529,990",Wyeth Holdings Corp,2487,2304,183,"August 26, 1998","December 15, 2004","June 15, 2005",the date the investigational new drug application became effective,1335
E6-9224,DUTASTERIDE (dutasteride,"5,565,467","GlaxoSmithKline, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2373,2038,335,,"December 21, 2000","November 20, 2001",the new drug application (NDA) for DUTASTERIDE (NDA 21-319),769
E6-9225,CUBICIN (daptomycin,"4,885,243","Cubist Pharmaceuticals, Inc",6444,6177,267,,"December 20, 2002","September 12, 2003",the new drug application (NDA) for CUBICIN (NDA 21-572),1347
E6-9412,INSPRA (eplerenone,"4,559,332",Novartis Corp,349452135,1832,303,"November 24, 1996","November 29, 2001","September 27, 2002",the date the investigational new drug application became effective,1218
E6-9414,SYMLIN (pramlintide acetate,"5,686,411","Amylin Pharmaceuticals, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4620,3060,1560,,"December 8, 2000","March 16, 2005",NDA 21-332,1586
E6-9509,ROZEREM (ramelteon,"6,034,239",Takeda Pharmaceutical Co,2224,1920,304,,"September 22, 2004","July 22, 2005",the new drug application (NDA) for Rozerem (NDA 21-782),808
E6-9817,BONIVA (ibandronate sodium,"4,927,814",Hoffmann-La Roche Inc,2559,2254,,"May 15, 1996","July 16, 2002","May 16, 2003",the date the investigational new drug application became effective,337
E6-9899,CIALIS (tadalafil,"5,859,006","ICOS Corporation, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1943,1067,876,"July 29, 1998","June 29, 2001","November 21, 2003",the date the investigational new drug application became effective,679
E6-10408,,"5,716,981","Angiotech Phamaceuticals, Inc",716,456,260,,,"March 4, 2004",PMA P030025,807
E6-10796,MULTIHANCE (gadobenate dimeglumine,"4,916,246",Bracco International B,3789,2482,1307,"July 12, 1994",,,the date the investigational new drug application became effective,
E6-12574,CYMBALTA (duloxetine hydrochloride,"5,023,269","Eli Lilly and Company, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4781,3786,995,"July 4, 1991","November 13, 2001","August 3, 2004",the date the investigational new drug application became effective,1826
E6-12571,IPLEX (mecasermin rinfabate [rDNA origin],"5,681,818",Insmed Inc,3527,3183,344,,"January 3, 2005","December 12, 2005",the new drug application (NDA) for IPLEX (NDA 21-884),1657
E6-12572,,"4,631,278",Janssen Pharmaceutica N,5111,1749,,,,"April 21, 1999",the date the investigational new animal drug application became effective,1096
E6-12573,EMEND (aprepitant,"5,719,147",Merck & Co,2513,2332,181,,"September 27, 2002","March 26, 2003",the new drug application (NDA) for EMEND (NDA 21-549),1022
E6-15554,,"6,133,418","Duke University, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2312,2133,179,"November 14, 1996","September 16, 2002","March 13, 2003",the date the investigational new drug application became effective,569
E6-15555,,"6,054,297","Genentech, Inc",2551,2401,150,,,"February 26, 2004",BLA 125085/0,307
E6-15556,,"6,051,698","Gilead Sciences, Inc",2312,2128,184,,,"December 17, 2004",NDA 21-756,990
E6-15553,,"5,852,195",Pharmacia & Upjohn Co,3114,2931,183,,"December 22, 2004","June 22, 2005",NDA 21-814,1278
06-7800,,"4,916,154","American Cyanamid Company, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2857,2841,16,,,"January 28, 1998",NADA 141-099,1754
06-7985,MYCAMINE (mycafungin sodium,,"Astellas Pharma, Inc",2546,2221,325,,"April 26, 2004","March 16, 2005",NDA 21-754,
06-8115,CLOLAR (clofarabine,"5,661,136","Southern Research Institute, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2200,1926,274,,"March 30, 2004","December 28, 2004",NDA 21-673,1303
E6-15690,KETEK (telithromycin,"5,635,485",Aventis S,2206,713,1493,,"March 1, 2000","April 1, 2004",NDA 21-144,1076
E6-15767,MYCAMINE (micafungin sodium,,"Astellas Pharma, Inc",2546,1493,1053,,"April 29, 2002","March 16, 2005",the new drug application (NDA) for MYCAMINE (NDA 21-506),
E6-15908,LYRICA (NDA 21-446,"6,197,819","Warner-Lambert Company LLC, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",214463279,2852,427,,"October 31, 2003","December 30, 2004",NDA 21-446,299
E6-15969,PLENAXIS (abarelix,"5,843,901","Praecis Pharmaceuticals, Inc",2566,1487,1079,"November 17, 1996","December 12, 2000","November 25, 2003",the date the investigational new drug application became effective,725
E6-15987,TARCEVA (erlotinib,"5,747,498","Pfizer, Inc",2653,2541,112,,"July 30, 2004","November 18, 2004",NDA 21-743,1261
E6-15962,LYRICA (NDA 21-723,"6,001,876","Warner-Lambert Company LLC, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",217233279,2852,427,,"October 31, 2003","December 30, 2004",NDA 21-723,533
E6-16086,BYETTA (exenatide injection,"5,424,286","Amylin Pharmaceuticals, Inc",2271,1968,303,"February 10, 1999","June 30, 2004","April 28, 2005",the date the investigational new drug application became effective,1286
E6-16091,NATRECOR (nesiritide,"5,114,923","Scios, Inc",2790,1588,1202,,"April 27, 1998","August 10, 2001",the new drug application (NDA) for NATRECOR (NDA 20-920),
E6-16087,,"6,420,536","Pfizer, Inc",2451,2414,37,,,"May 24, 2005",the date the investigational new animal drug application (INADA) became effective,360
E6-16816,BONIVA (ibandronate sodium,"4,927,814","Hoffmann-La Roche, Inc",,2817,305,,"July 16, 2002","May 16, 2003",the date the IND became effective,1713
E7-2805,TYGACIL (tigecycline,"5,494,903",Wyeth Holdings Corp,2487,2304,183,"August 26, 1998","December 15, 2004","June 15, 2005",the date the investigational new drug application became effective,1335
E7-3001,LEVEMIR (insulin determir (rDNA origin,"5,750,497","Novo Nordisk A/S, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2896,1971,925,"July 14, 1997","December 5, 2002","June 16, 2005",the date the investigational new drug application became effective,
E7-3041,EXJADE (deferasirox,"6,465,504","Novartis AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2288,2103,185,"July 31, 1999","May 2, 2005","November 2, 2005",the date the investigational new drug application became effective,648
E7-3042,BARACLUDE (entecavir,"5,206,244",Bristol-Myers Squibb Co,2993,2811,182,"January 19, 1997","September 29, 2004","March 29, 2005",the new drug application (NDA) for BARACLUDE (NDA 21-797),1587
E7-3128,AMITIZA (lubiprostone,"5,284,858","Sucampo AG, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2197,1890,307,,"March 31, 2005","January 31, 2006",the new drug application (NDA) for AMITIZA (NDA 21-908),1251
E7-3127,,,"Medtronic Vascular, and the Patent and Trademark Office requested FDA's assistance in determining the patents' eligibilities for patent term restoration",8652,477,175,,,"October 1, 2003","the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective December 20, 2001.
                

                    2. 
                    The date the application",
E7-5439,REVLIMID (lenalidomide,"5,635,517",Celgene Corp,2069,1804,265,,"April 7, 2005","December 27, 2005",the new drug application (NDA) for REVLIMID (NDA 21-880),1166
E7-5443,,"5,981,576",Merck Frosst Canada & Co,2216,2118,98,,,"July 21, 2004",the date the investigational new animal drug application (INAD) became effective,650
E7-5445,NOVOLOG (insulin aspart (rDNA origin,"5,618,913","Novo Nordisk A/S, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1776,1145,631,"July 30, 1995","September 16, 1998","June 7, 2000",the date the investigational new drug application became effective,59
E7-5446,EMTRIVA (emtricitabine,"5,914,331","Emory University, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2114,1811,303,,"September 3, 2002","July 2, 2003",the new drug application (NDA) for EMTRIVA (NDA 21-500),642
E7-5444,,"5,667,767","Micro Therapeutics, Inc",1682,825,857,,,"July 21, 2005","the date the investigational device exemption (IDE) required under section 520(g) of the act for human tests to begin became effective December 14, 2000.
                

                    2. 
                    The date the application",1271
E7-5504,,"4,861,779","Pfizer, Inc",1805365,5314,51,,,,the new animal drug Application (NADA) for A180 (NADA 141-207),1826
E7-5635,,,"SDGI Holdings, Inc",2052,1515,537,,,"July 2, 2002","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective November 20, 1996.
                

                    2. 
                    The date the application",
